round1,round2,round3,round4,round5
873,1404,2051,,
874,1405,2058,,
875,1407,2059,,
876,1408,2060,,
877,1409,2069,,
878,1412,2072,,
879,1413,2073,,
880,1415,2080,,
881,1421,2081,,
882,1423,2083,,
883,1424,2086,,
884,1425,2096,,
885,1426,2099,,
886,1427,2101,,
887,1428,2107,,
888,1431,2108,,
889,1432,2109,,
890,1435,2111,,
891,1436,2114,,
892,1440,2115,,
893,1441,2116,,
894,1442,2118,,
895,1445,2121,,
896,1447,2124,,
897,1448,2125,,
898,1452,2126,,
899,1453,2127,,
900,1458,2128,,
901,1460,2129,,
902,1461,2130,,
903,1462,2134,,
904,1464,2141,,
905,1465,2146,,
906,1469,2147,,
907,1471,2150,,
908,1472,2151,,
909,1473,2152,,
910,1474,2153,,
911,1476,2154,,
912,1478,2155,,
913,1479,2156,,
914,1480,2157,,
915,1481,2160,,
916,1482,2161,,
917,1484,2162,,
918,1486,2164,,
919,1487,2167,,
920,1488,2168,,
921,1489,2171,,
922,1492,2172,,
923,1493,2176,,
924,1494,2177,,
925,1495,2178,,
926,1496,2179,,
927,1497,2180,,
928,1498,2181,,
929,1500,2182,,
930,1501,2186,,
931,1502,2187,,
932,1503,2188,,
933,1504,2189,,
934,1505,2190,,
935,1507,2192,,
936,1509,2193,,
937,1510,2194,,
938,1511,2195,,
939,1512,2196,,
940,1514,2197,,
941,1515,2200,,
942,1521,2209,,
943,1522,2211,,
944,1523,2214,,
945,1524,2215,,
946,1526,2218,,
947,1527,2219,,
948,1529,2220,,
949,1530,2221,,
950,1531,2222,,
951,1532,2228,,
952,1533,2229,,
953,1534,2232,,
954,1535,2233,,
955,1536,2234,,
956,1538,2237,,
957,1539,2238,,
958,1540,2241,,
959,1541,2243,,
960,1542,2247,,
961,1543,2248,,
962,1545,2249,,
963,1546,2250,,
964,1550,2251,,
965,1552,2258,,
966,1555,2259,,
967,1556,2260,,
968,1558,2261,,
969,1559,2262,,
970,1560,2263,,
971,1561,2264,,
972,1562,2265,,
973,1563,2267,,
974,1564,2268,,
975,1565,2269,,
976,1566,2270,,
977,1567,2271,,
978,1568,2272,,
979,1569,2273,,
980,1570,2274,,
981,1571,2276,,
982,1572,2277,,
983,1573,2278,,
984,1575,2279,,
985,1576,2280,,
986,1577,2281,,
987,1580,2284,,
988,1581,2285,,
989,1584,2286,,
990,1586,2287,,
991,1588,2288,,
992,1590,2289,,
993,1596,2291,,
994,1598,2296,,
995,1600,2298,,
996,1601,2299,,
997,1602,2300,,
998,1604,2301,,
999,1605,2302,,
1000,1606,2303,,
1001,1607,2304,,
1002,1608,2307,,
1003,1609,2310,,
1004,1610,2311,,
1005,1611,2312,,
1006,1613,,,
1007,1615,,,
1008,1616,,,
1009,1618,,,
1010,1620,,,
1011,1622,,,
1012,1633,,,
1013,1634,,,
1014,1635,,,
1015,1636,,,
1016,1637,,,
1017,1639,,,
1018,1645,,,
1019,1646,,,
1020,1647,,,
1021,1648,,,
1022,1652,,,
1023,1653,,,
1024,1657,,,
1025,1658,,,
1026,1659,,,
1027,1661,,,
1028,1662,,,
1029,1663,,,
1030,1665,,,
1031,1669,,,
1032,1672,,,
1033,1673,,,
1034,1674,,,
1035,1676,,,
1036,1680,,,
1037,1681,,,
1038,1683,,,
1039,1684,,,
1040,1685,,,
1041,1686,,,
1042,1687,,,
1043,1688,,,
1044,1691,,,
1045,1692,,,
1046,1694,,,
1047,1695,,,
1048,1699,,,
1049,1700,,,
1050,1701,,,
1051,1703,,,
1052,1704,,,
1053,1705,,,
1054,1707,,,
1055,1708,,,
1056,1711,,,
1057,1716,,,
1058,1717,,,
1059,1719,,,
1060,1722,,,
1061,1723,,,
1062,1724,,,
1063,1725,,,
1064,1727,,,
1065,1728,,,
1066,1729,,,
1067,1731,,,
1068,1733,,,
1069,1734,,,
1070,1735,,,
1071,1736,,,
1072,1738,,,
1073,1741,,,
1074,1742,,,
1075,1745,,,
1076,1746,,,
1077,1747,,,
1078,1748,,,
1079,1749,,,
1080,1750,,,
1081,1755,,,
1082,1758,,,
1083,1759,,,
1084,1760,,,
1085,1761,,,
1086,1762,,,
1087,1763,,,
1088,1764,,,
1089,1765,,,
1090,1766,,,
1091,1767,,,
1092,1768,,,
1093,1769,,,
1094,1772,,,
1095,1773,,,
1096,1775,,,
1097,1777,,,
1098,1778,,,
1099,1779,,,
1100,1780,,,
1101,1781,,,
1102,1782,,,
1103,1784,,,
1104,1785,,,
1105,1786,,,
1106,1788,,,
1107,1789,,,
1108,1790,,,
1109,1791,,,
1110,1792,,,
1111,1793,,,
1112,1794,,,
1113,1795,,,
1114,1796,,,
1115,1797,,,
1116,1798,,,
1117,1799,,,
1118,1800,,,
1119,1801,,,
1120,1802,,,
1121,1805,,,
1122,1806,,,
1123,1807,,,
1124,1808,,,
1125,1809,,,
1126,1810,,,
1127,1811,,,
1128,1812,,,
1129,1814,,,
1130,1816,,,
1131,1818,,,
1132,1819,,,
1133,1820,,,
1134,1821,,,
1135,1823,,,
1136,1828,,,
1137,1829,,,
1138,1831,,,
1139,1832,,,
1140,1833,,,
1141,1834,,,
1142,1835,,,
1143,1839,,,
1144,1840,,,
1145,1841,,,
1146,1842,,,
1147,1845,,,
1148,1846,,,
1149,1849,,,
1150,1850,,,
1151,1851,,,
1152,1854,,,
1153,1856,,,
1154,1859,,,
1155,1860,,,
1156,1861,,,
1157,1863,,,
1158,1867,,,
1159,1868,,,
1160,1869,,,
1161,1870,,,
1162,1872,,,
1163,1874,,,
1164,1875,,,
1165,1876,,,
1166,1877,,,
1167,1879,,,
1168,1880,,,
1169,1882,,,
1170,1884,,,
1171,1886,,,
1172,1887,,,
1173,1888,,,
1174,1889,,,
1175,1891,,,
1176,1894,,,
1177,1896,,,
1178,1897,,,
1179,1898,,,
1180,1900,,,
1181,1903,,,
1182,1904,,,
1183,1906,,,
1184,1907,,,
1185,1909,,,
1186,1911,,,
1187,1912,,,
1188,1913,,,
1189,1914,,,
1190,1915,,,
1191,1916,,,
1192,1917,,,
1193,1919,,,
1194,1920,,,
1195,1921,,,
1196,1922,,,
1197,1923,,,
1198,1924,,,
1199,1925,,,
1200,1926,,,
1201,1927,,,
1202,1928,,,
1203,1929,,,
1204,1932,,,
1205,1934,,,
1206,1935,,,
1207,1936,,,
1208,1937,,,
1209,1938,,,
1210,1940,,,
1211,1941,,,
1212,1942,,,
1213,1943,,,
1214,1944,,,
1215,1945,,,
1216,1946,,,
1217,1947,,,
1218,1948,,,
1219,1949,,,
1220,1950,,,
1221,1951,,,
1222,1953,,,
1223,1954,,,
1224,1955,,,
1225,1956,,,
1226,1957,,,
1227,1958,,,
1228,1959,,,
1229,1961,,,
1230,1962,,,
1231,1964,,,
1232,1965,,,
1233,1966,,,
1234,1967,,,
1235,1968,,,
1236,1969,,,
1237,1972,,,
1238,1973,,,
1239,1975,,,
1240,1977,,,
1241,1978,,,
1242,1979,,,
1243,1980,,,
1244,1981,,,
1245,1983,,,
1246,1984,,,
1247,1985,,,
1248,1986,,,
1249,1987,,,
1250,1988,,,
1251,1989,,,
1252,1991,,,
1253,1992,,,
1254,1993,,,
1255,1994,,,
1256,1996,,,
1257,1998,,,
1258,2001,,,
1259,2003,,,
1260,2005,,,
1261,2006,,,
1262,2008,,,
1263,2009,,,
1264,2010,,,
1265,2014,,,
1266,2015,,,
1267,2016,,,
1268,2020,,,
1269,2021,,,
1270,2022,,,
1271,2023,,,
1272,2024,,,
1273,2027,,,
1274,2029,,,
1275,2031,,,
1276,2034,,,
1277,2035,,,
1278,2036,,,
1279,2037,,,
1280,2039,,,
1281,2040,,,
1282,2041,,,
1283,2043,,,
1284,2044,,,
1285,2045,,,
1286,2046,,,
1287,2047,,,
1288,2048,,,
1289,2049,,,
1290,2050,,,
1291,2051,,,
1292,2053,,,
1293,2055,,,
1294,2057,,,
1295,2058,,,
1296,2059,,,
1297,2060,,,
1298,2062,,,
1299,2064,,,
1300,2066,,,
1301,2068,,,
1302,2069,,,
1303,2071,,,
1304,2072,,,
1305,2073,,,
1306,2074,,,
1307,2076,,,
1308,2079,,,
1309,2080,,,
1310,2081,,,
1311,2082,,,
1312,2083,,,
1313,2085,,,
1314,2086,,,
1315,2091,,,
1316,2092,,,
1317,2095,,,
1318,2096,,,
1319,2099,,,
1320,2100,,,
1321,2101,,,
1322,2106,,,
1323,2107,,,
1324,2108,,,
1325,2109,,,
1326,2111,,,
1327,2113,,,
1328,2114,,,
1329,2115,,,
1330,2116,,,
1331,2118,,,
1332,2120,,,
1333,2121,,,
1334,2123,,,
1335,2124,,,
1336,2125,,,
1337,2126,,,
1338,2127,,,
1339,2128,,,
1340,2129,,,
1341,2130,,,
1342,2133,,,
1343,2134,,,
1344,2138,,,
1345,2140,,,
1346,2141,,,
1347,2145,,,
1348,2146,,,
1349,2147,,,
1350,2150,,,
1351,2151,,,
1352,2152,,,
1353,2153,,,
1354,2154,,,
1355,2155,,,
1356,2156,,,
1357,2157,,,
1358,2159,,,
1359,2160,,,
1360,2161,,,
1361,2162,,,
1362,2163,,,
1363,2164,,,
1364,2166,,,
1365,2167,,,
1366,2168,,,
1367,2170,,,
1368,2171,,,
1369,2172,,,
1370,2175,,,
1371,2176,,,
1372,2177,,,
